country,County,Post_Town,sub_industry,industry,sector,employee_range,turnover_range,company_age,head_office_country,SIC_CODE
Wales,Gwent,Tredegar,Laboratories,Research Services,Professional Services,6 to 10,250K to 500K,23,United Kingdom,4152
England,London,London,Lebanese Restaurants,Food and Beverage Services,Accommodation Services,20 to 49,1M to 2.5M,18,England,4143
England,Buckinghamshire,Milton Keynes,Letting Agents/real Estate Agencies,Real Estate,Real Estate and Equipment Rental Services,100 to 199,10M to 25M,21,England,4101
England,Cheshire,Wilmslow,Manufacturers Scientific Apparatus & Instruments,Medical Equipment Manufacturing,Manufacturing,5000+,100M to 500M,28,United Kingdom,4116
England,London,London,Marketing Consultants & Services,Advertising Services,Professional Services,20 to 49,2.5M to 5M,38,England,4144
England,London,London,Media & Advertising,Advertising Services,Professional Services,6 to 10,100K to 250K,22,England,4120
England,Berkshire,Wokingham,Messenger & Courier Services,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage",Unclassified,10M to 25M,53,,4186
England,London,London,Mobile App Development/Software Companies,IT Services and IT Consulting,Professional Services,50 to 99,5M to 10M,17,England,4108
Scotland,Lanarkshire,Glasgow,Mobile App Development/Software Companies,IT Services and IT Consulting,Professional Services,Unclassified,Upto 100K,12,United Kingdom,4199
England,West Yorkshire,Halifax,Mortgage Brokers,Credit Intermediation,Financial Services,11 to 19,Upto 100K,8,England,4190
England,London,London,Museums,"Museums, Historical Sites, and Zoos",Entertainment Providers,200 to 499,2.5M to 5M,35,England,4109
Wales,South Glamorgan,Penarth,Occupational Therapist,Health and Human Services,Government Administration,1 to 5,100K to 250K,11,Wales,4142
England,South Humberside,Grimsby,Oil Companies,Oil and Gas,"Oil, Gas, and Mining",20 to 49,1M to 2.5M,63,England,4102
England,West Yorkshire,Ilkley,Online Retail,Online and Mail Order Retail,Retail,Unclassified,10M to 25M,29,England,4124
England,Lancashire,Manchester,Online Retail,Online and Mail Order Retail,Retail,50 to 99,1M to 2.5M,17,England,4161
England,Berkshire,Maidenhead,Online Retail,Online and Mail Order Retail,Retail,20 to 49,10M to 25M,0,England,4176
England,South Yorkshire,Sheffield,"Operatives Housing Associations, Societies, Trusts & Co",Housing and Community Development,Government Administration,1000 to 5000,Upto 100K,47,England,4172
England,Leicestershire,Leicester,Outdoor Pursuit Organisers,Events Services,Administrative and Support Services,5000+,1B+,37,England,4140
England,London,London,Project Management,Business Consulting and Services,Professional Services,20 to 49,10M to 25M,13,United Kingdom,4169
England,Nottinghamshire,Nottingham,Property & Estate Management Companies,Real Estate,Real Estate and Equipment Rental Services,200 to 499,50M to 100M,19,United Kingdom,4168
England,London,London,Property Investments,Capital Markets,Financial Services,6 to 10,250K to 500K,15,United Kingdom,4179
England,London,London,"Real Estate Agencies, Agents, Buyers",Real Estate,Real Estate and Equipment Rental Services,20 to 49,2.5M to 5M,16,England,4146
England,London,London,Record Companies,Media and Telecommunications,"Technology, Information and Media",20 to 49,2.5M to 5M,12,England,4153
England,West Yorkshire,Wakefield,Residential Care Homes,Nursing Homes and Residential Care Facilities,Hospitals and Health Care,Unclassified,500M to 1B,43,United Kingdom,4147
Scotland,Isle of Bute,Isle of Bute,Rest & Retirement Homes,Nursing Homes and Residential Care Facilities,Hospitals and Health Care,1000 to 5000,500M to 1B,21,United Kingdom,4185
England,North Humberside,Hull,Sawmills & Wood Shavings,Wood Product Manufacturing,Manufacturing,11 to 19,25M to 50M,60,England,4136
England,London,London,Security Services,Security and Investigations,Administrative and Support Services,11 to 19,2.5M to 5M,39,England,4159
England,Buckinghamshire,Milton Keynes,Site Investigation Consultants,Engineering Services,Professional Services,11 to 19,5M to 10M,17,England,4195
England,Avon,Bristol,Solicitors - Accident And Personal Injury,Legal Services,Professional Services,20 to 49,5M to 10M,15,England,4196
England,Essex,Chelmsford,Sound Equipment Hire & Installation,Equipment Rental Services,Real Estate and Equipment Rental Services,6 to 10,100K to 250K,21,England,4174
Scotland,West Lothian,Broxburn,Sports Clubs & Associations,Civic and Social Organizations,Consumer Services,11 to 19,100K to 250K,16,,4170
England,West Midlands,Smethwick,Steel Manufacturers,Primary Metal Manufacturing,Manufacturing,Unclassified,Upto 100K,41,England,4105
England,West Midlands,Birmingham,Telecommunication Services,Media and Telecommunications,"Technology, Information and Media",Unclassified,25M to 50M,35,England,4160
Northern Ireland,County Antrim,Ballymena,Textile Merchants And Agents,Wholesale Apparel and Sewing Supplies,Wholesale,11 to 19,5M to 10M,76,United Kingdom,4107
England,Lancashire,Preston,Textile Merchants And Agents,Wholesale Apparel and Sewing Supplies,Wholesale,50 to 99,10M to 25M,0,United Kingdom,4171
England,Lancashire,Bacup,Theatre Companies,Performing Arts and Spectator Sports,Entertainment Providers,6 to 10,Upto 100K,6,England,4137
England,Hertfordshire,Watford,Training Services,Professional Training and Coaching,Education,100 to 199,5M to 10M,22,England,4138
England,Avon,Bristol,Training Services,Professional Training and Coaching,Education,6 to 10,Upto 100K,15,United Kingdom,4178
England,North Yorkshire,York,Translators & Interpreters,Translation and Localization,Administrative and Support Services,Unclassified,Upto 100K,12,United Kingdom,4181
England,Surrey,Kingston upon Thames,Travel Agents & Holiday Companies,Travel Arrangements,Administrative and Support Services,100 to 199,10M to 25M,21,England,4121
England,London,London,Travel Agents & Holiday Companies,Travel Arrangements,Administrative and Support Services,50 to 99,10M to 25M,10,England,4188
England,Kent,Margate,Used Car Dealerships,Retail Motor Vehicles,Retail,50 to 99,50M to 100M,19,England,4112
England,South Yorkshire,Rotherham,Voluntary Association/charitable Organization,Non-profit Organizations,Consumer Services,20 to 49,250K to 500K,46,United Kingdom,4114
Northern Ireland,County Londonderry,Londonderry,Voluntary Association/charitable Organization,Non-profit Organizations,Consumer Services,20 to 49,2.5M to 5M,27,United Kingdom,4132
England,Cheshire,Warrington,Water Coolers,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing,11 to 19,2.5M to 5M,23,England,4149
England,West Sussex,Crawley,,Events Services,Administrative and Support Services,50 to 99,2.5M to 5M,15,England,4151
